Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
3/23/18,Unknown,2018-03-23T22:57:31-07:00,2018-03-24T00:00:00-07:00,3749,34.048805,-118.55026,,
3/24/18,Unknown,2018-03-24T00:00:00-07:00,2018-03-24T11:51:34-07:00,42694,34.048805,-118.55026,,
3/24/18,Unknown,2018-03-24T11:59:06-07:00,2018-03-24T12:53:29-07:00,3263,34.044949,-118.55179,,
3/24/18,Unknown,2018-03-24T12:57:22-07:00,2018-03-24T13:35:37-07:00,2295,34.044474,-118.55803,,
3/24/18,Unknown,2018-03-24T13:54:59-07:00,2018-03-24T14:16:24-07:00,1285,34.021071,-118.49568,,
3/24/18,Unknown,2018-03-24T14:25:42-07:00,2018-03-24T16:24:06-07:00,7104,34.040447,-118.47222,,
3/24/18,Unknown,2018-03-24T16:40:46-07:00,2018-03-24T17:03:19-07:00,1353,34.017039,-118.49516,,
3/24/18,Unknown,2018-03-24T17:03:20-07:00,2018-03-24T17:12:51-07:00,571,34.017924,-118.49563,,
3/24/18,Unknown,2018-03-24T17:32:12-07:00,2018-03-24T19:07:16-07:00,5704,34.040013,-118.57869,,
3/24/18,Unknown,2018-03-24T19:15:01-07:00,2018-03-24T19:44:50-07:00,1789,34.039099,-118.55436,,
3/24/18,Unknown,2018-03-24T19:48:50-07:00,2018-03-24T22:38:19-07:00,10169,34.044949,-118.55179,,
3/25/18,Unknown,2018-03-25T09:11:47-07:00,2018-03-25T09:47:42-07:00,2155,34.044949,-118.55179,,
3/25/18,Unknown,2018-03-25T09:54:12-07:00,2018-03-25T12:57:22-07:00,10990,34.039978,-118.57818,,
3/25/18,Unknown,2018-03-25T13:14:53-07:00,2018-03-25T15:35:26-07:00,8433,34.042847,-118.55598,,
3/25/18,Unknown,2018-03-25T21:01:21-07:00,2018-03-26T00:00:00-07:00,10719,34.021726,-118.80897,,
