Date,Activity,Group,Duration,Distance,Steps,Calories
7/2/18,transport,transport,3549,13.460,0,0
7/2/18,walking,walking,1452,0.802,1772,76
7/3/18,transport,transport,2754,14.329,0,0
7/3/18,walking,walking,1368,0.864,1938,82
7/4/18,transport,transport,3497,10.092,0,0
7/4/18,walking,walking,1840,1.257,2915,120
7/5/18,transport,transport,3714,11.677,0,0
7/5/18,walking,walking,1577,1.113,2485,106
7/6/18,transport,transport,1455,7.516,0,0
7/6/18,walking,walking,1445,0.753,1883,72
7/7/18,transport,transport,1935,11.678,0,0
7/7/18,walking,walking,493,0.328,783,31
7/8/18,transport,transport,3326,11.821,0,0
7/8/18,walking,walking,2305,1.267,3856,121
