,cum_gain_cycling,cum_gain_running,cum_gain_walking
2017-10-17,,,170.18688964843759
2017-10-18,,,150.37326431274425
2017-10-19,,,50.51967966556549
2017-10-21,,,91.37787628173824
2017-10-23,,,93.78584289550781
2017-10-24,,,39.81747817993164
2017-10-26,,,39.7131652832031
2017-10-29,,,18.351361989974976
2017-10-31,,,137.79987049102775
2017-11-01,,,92.01151466369633
2017-11-03,,,111.7820053100587
2017-11-04,,,9.257120132446284
2017-11-05,,,0.19012069702148082
2017-11-06,,,0.0
2017-11-07,,,217.12057876586914
2017-11-08,,,86.42831420898423
2017-11-11,,,41.97094726562506
2017-11-13,,,8.964965820312528
2017-11-14,,,0.0
2017-11-15,,,5.766273498535163
2017-11-21,,,199.8427734375
2017-11-22,,,0.0
2017-11-23,,,62.1474609375
2017-11-26,,,51.60083007812506
2017-11-27,,,58.34105694293975
2017-11-30,,,61.39142191410065
2017-12-01,,,65.60759055614471
2017-12-02,,,64.05059814453125
2017-12-03,,,77.1007995605467
2017-12-05,,,3.4762376546859732
2017-12-06,,,16.09193420410157
2017-12-07,,,0.0
2017-12-08,,,4.24592661857605
2017-12-10,,,18.009643554687045
2017-12-11,,,26.814147949219205
2017-12-13,,,0.0
2017-12-14,,,23.500244140625
2017-12-20,,,2.9254150390625
2017-12-27,,,16.751098632812045
2017-12-28,,,0.77667236328125
2017-12-29,596.8231201171873,,177.081787109375
2017-12-31,,,3.02984619140625
2018-01-01,,,54.44604492187409
2018-01-04,,,229.26416015625
2018-01-07,,,382.9365234374991
2018-01-09,,,3.8482666015625
2018-01-11,737.2805786132812,,259.4641113281259
2018-01-12,,,123.76379394531295
2018-01-16,,,8.59625244140625
2018-01-17,,,315.3436279296893
2018-01-21,74.49670410156295,,128.27801513671875
2018-01-22,,,134.09069824219068
2018-01-23,,,48.218994140625
2018-01-24,,,162.68762207031023
2018-01-25,,,78.16845703125
2018-01-28,,,80.31645202636716
2018-01-31,,,75.74259948730463
2018-02-03,,,4.99902093410492
2018-02-04,,,59.99243164062502
2018-02-06,,,51.6462655067444
2018-02-08,,,47.90750861167907
2018-02-10,,,0.0
2018-02-11,,,115.18441468477249
2018-02-12,,,190.47911834716797
2018-02-15,,,38.641085147857666
2018-02-16,,,185.62614440917974
2018-02-18,,,11.355373859405518
2018-02-19,,,9.084562540054321
2018-02-20,,,194.17138671874997
2018-02-23,,,5.091178894042969
2018-02-24,,,9.757477730512619
2018-02-26,,,54.703614473342896
2018-02-27,,,49.2066731452942
2018-03-01,,,135.87921142578125
2018-03-02,,,0.0
2018-03-04,,,54.146734833717346
2018-03-05,,,122.43572998046864
2018-03-09,,,0.0
2018-03-26,,,5.634931802749634
2018-03-29,,,31.527874350547794
2018-03-31,,0.0,0.0
2018-04-01,,,49.4776611328125
2018-04-04,328.6367187499991,,384.2821044921852
2018-04-05,,,5.66107177734375
2018-04-06,,,0.080078125
2018-04-07,,,104.45727539062409
2018-04-08,,,195.35656738281295
2018-04-10,43.59490966796875,,
2018-04-11,,,207.00573730468614
2018-04-12,,,22.195678710936818
2018-04-14,,,57.350830078125455
2018-04-16,,,11.7923583984375
2018-04-17,,,385.48937988281295
2018-04-19,,,33.596069335937045
2018-04-20,1.1990966796879547,,345.03186035156295
2018-04-21,,,46.6669921875
2018-04-22,,,0.0
2018-04-23,,,231.70532226562227
2018-04-24,,,157.30322265625
2018-04-25,,,14.74560546875
2018-04-26,,,0.0
2018-04-29,,,50.40806186199188
2018-04-30,,,16.22293853759766
2018-05-01,,,50.82843363285065
2018-05-03,,,0.42816734313964844
2018-05-05,,,0.42697143554687855
2018-05-06,,,9.82284545898429
2018-05-08,,,174.52827453613284
2018-05-09,,,410.2771176719107
2018-05-10,2.129058837890682,,
2018-05-11,,,158.45039424300194
2018-05-13,,,37.40609741210935
2018-05-14,,,50.88514709472656
2018-05-20,,,1.3705749511719318
2018-05-22,,,1.073150634765618
2018-05-23,,,4.512069702148409
2018-05-27,,,97.4593811035156
2018-06-01,0.0,,40.723766565322876
2018-06-05,,,12.77707290649414
2018-06-07,,,25.4407525062561
2018-06-14,,,209.906982421875
2018-06-15,,,93.44458007812591
2018-06-16,,,28.816040039062955
2018-06-17,,,94.66442871093705
2018-06-18,,,268.55456542968795
2018-06-19,,,1.9669189453129547
2018-06-20,,,5.267456054687955
2018-06-21,,,123.10510253906114
2018-06-22,,,5.966430664062955
2018-06-23,,,202.210693359375
2018-06-24,,,0.0
2018-06-25,,,1.4010009765629547
2018-06-26,,,0.5577392578129547
2018-06-27,,,5.650024414063864
2018-06-28,,,34.122802734375
2018-06-29,,,74.1875
2018-06-30,,,85.30871582031295
2018-07-01,,,86.95715332031205
2018-07-02,,,85.01684570312409
2018-07-03,,,7.436157226562955
2018-07-04,,,7.941772460936136
2018-07-05,,,7.886352539062955
2018-07-06,,,10.811889648437955
2018-07-08,,,117.17089843749909
2018-07-09,,,0.23388671875
2018-07-10,,,42.840087890625
2018-07-11,,,0.00341796875
2018-07-12,,,0.44873046875
2018-07-14,,,18.51220703125
2018-07-15,,,29.43164062499909
2018-07-16,,,0.6737060546870453
2018-07-19,,,11.493299007415768
2018-07-20,,,7.456337928771973
2018-07-23,,,16.062976300716397
2018-07-24,,,3.031959056854248
2018-07-27,,,16.07169365882874
2018-07-29,,,25.110291719436653
